Date,Top15_Net_Volume,Foreign_Net_Volume,Margin_Balance,Trust_Net_Volume,Dealer_Net_Volume
2023-01-03,348.3570765056163,1052.302548793913,8674,-155.98693418114937,-39.08170987358049
2023-01-04,30.867849414407672,-142.44777624968577,6377,-99.8062941910191,85.50406137817893
2023-01-05,423.84426905034627,-299.4133438625372,11701,293.47471395032596,83.56615967509606
2023-01-06,861.5149282040127,482.84933383184244,7597,214.11108380127456,-34.87491334148188
2023-01-09,-17.07668736166798,-131.33382656858277,5141,-0.34613639850101663,-178.54610204177624
2023-01-10,-17.06847847459028,579.7590906533064,7659,276.72469437180985,-41.0022977498356
2023-01-11,889.6064077536957,321.7538125107798,9596,-162.4594310332748,87.7359521686422
2023-01-12,483.7173645764544,-709.4464689983391,14031,-189.65667714943163,-57.503418942372406
2023-01-13,-134.73719296747606,1128.503120798037,10661,222.71933184931808,18.906216298380443
2023-01-16,371.2800217929823,1277.526603857313,11142,165.92864586452941,-45.748493796634406
2023-01-17,-131.70884640623112,-167.67321429063173,10626,-42.05268031666462,-173.21671625260498
2023-01-30,-132.86487678512844,-32.620935961590504,13787,-177.0921787396261,-47.54811770399279
2023-01-31,220.98113578301707,371.519234434943,13472,341.946375007588,87.31320206897124
2023-02-01,-856.640122328899,400.67407399221497,5423,-294.02051018956365,-217.02524800658122
2023-02-02,-762.4589162565164,595.1265636036983,11999,-69.68518706871207,45.21673504755756
2023-02-03,-181.14376462048637,1406.1227232598098,9249,95.71530550357946,-98.60692313994133
2023-02-06,-406.4155601672119,93.83166350357037,6750,410.4329616862891,80.84420694741921
2023-02-07,257.12366629763693,-278.97834672307226,9757,126.62004241464406,91.43189358736531
2023-02-08,-354.01203776060544,-627.5915368087163,6967,146.06093060265974,2.805206508872395
2023-02-09,-606.1518506676457,-238.55802396515145,9088,-63.87674002962544,3.0331841218777917
2023-02-10,832.824384460777,180.12381627572174,9178,163.69604505491967,-60.63626971363014
2023-02-13,-12.88815024326783,1276.7347181106727,12789,71.06186417581738,-114.55834001049661
2023-02-14,133.76410234396192,-110.56677942170285,7946,-267.6929080835116,189.8092906333733
2023-02-15,-612.3740931067284,334.2727709833391,14641,208.58697069862143,-66.50714271711279
2023-02-16,-172.19136226259133,190.14626235634876,10394,244.07867796937023,176.77961311964722
2023-02-17,155.46129485493304,913.0359640688504,12880,210.67300976423255,-65.95000398001768
2023-02-20,-475.49678871115145,1716.159455524173,10075,56.6655851331604,72.51903903377283
2023-02-21,287.84900917283596,-118.5212637521924,12230,-141.23537662992945,-93.78071596536347
2023-02-22,-200.31934495940249,-93.6636655109333,6531,-411.83674625697313,72.33950169020153
2023-02-23,-45.84687489663838,826.4965262414432,7990,81.41072108029013,-12.558735715312196
2023-02-24,-200.85330611469846,609.1348937757868,12155,266.38841194816985,-11.251616067567038
2023-03-01,1026.1390922544688,1308.02439544162,9493,249.10649381661617,81.00231697844505
2023-03-02,93.25138763103304,550.3569111955783,14335,213.21456867876958,-26.91413650790981
2023-03-03,-428.85546447795014,-15.575254472235713,5933,35.15780429012184,-122.81484954450977
2023-03-06,511.27245605159453,554.3928984153856,6460,267.49283480629936,96.13055634094525
2023-03-07,-510.4218249855111,865.2221483497447,7723,234.83236477118055,-94.59005899823282
2023-03-08,204.43179750237772,692.2893087184184,5285,-34.52671214431162,71.651728439791
2023-03-09,-879.8350619398877,504.36441866437866,5264,185.31960332316945,117.29965453330006
2023-03-10,-564.0930244492152,840.0048137534924,11816,-57.19182908185833,-17.54938863522174
2023-03-13,198.43061793456175,901.5773542674036,6762,158.0048463233844,138.2352844091784
2023-03-14,469.23328999770524,1029.2953946225161,5040,-209.8233288602134,68.1783707861284
2023-03-15,185.68414059498525,589.2259325537856,10827,-194.4423617345843,-49.58614201447756
2023-03-16,42.175858805879734,99.72915180988738,13259,261.64140938878154,160.14290022660748
2023-03-17,-50.5518477946444,288.0282118599937,5987,237.51202444095298,-94.16718217393904
2023-03-20,-639.2609951837137,923.9053799050141,12804,176.72230811516627,-17.670042990356542
2023-03-21,-259.9221041973543,-290.16140259234163,12789,67.59376421056609,-0.631480361932887
2023-03-22,-130.31938547989375,421.2039853237407,10717,-428.2548862048297,80.52237010182554
2023-03-23,628.5611131094579,-36.0032873964164,8198,35.02481235870208,131.54332973811347
2023-03-24,271.80914478423074,217.2468937608905,10374,140.83663343796763,125.27915569027135
2023-03-27,-781.520077681367,967.0711175643793,9790,-56.946649511918295,42.37483195743062
2023-03-28,262.04198469739754,314.659440811942,12183,-92.49883856164752,-8.026910446356673
2023-03-29,-92.54114020815825,227.86192889368928,7524,338.8840776307383,-162.59842416276302
2023-03-30,-238.46100015297935,-615.9136845879516,14277,37.94220172167764,-111.41458544552165
2023-03-31,405.83814442043393,647.7521396163324,7479,140.95903392847612,196.66554892914357
2023-04-06,615.4997612479755,587.2905086846453,14885,204.82629232387302,-163.60719875025393
